15;AStar;25,00;80,32;0;199,54;279,87
16;AStar;27,00;83,99;1;201,93;285,92
17;AStar;25,00;101,97;0;207,56;309,53
18;AStar;27,00;103,85;0;211,94;315,79
19;AStar;25,00;123,37;0;215,58;338,95
20;AStar;27,00;123,33;0;221,95;345,28
21;AStar;25,00;145,17;0;223,60;368,78
22;AStar;25,00;142,22;0;231,62;373,84
1;AStar;21,00;14,71;0;7,70;22,40
2;AStar;22,00;16,50;1;8,98;25,48
4;AStar;25,00;44,69;1;11,34;56,03
3;AStar;29,00;46,95;1;10,16;57,11
5;AStar;25,00;73,81;0;12,44;86,24
6;AStar;27,00;18,09;0;155,22;173,31
7;AStar;26,00;18,32;2;176,81;195,13
1;AStar;21,00;14,86;0;220,30;235,16
2;AStar;27,00;17,72;0;282,95;300,67
3;AStar;25,00;16,84;0;323,64;340,48
4;AStar;27,00;31,86;0;339,49;371,35
5;AStar;27,00;57,94;0;343,30;401,24
6;AStar;25,00;65,43;0;364,68;430,12
2;AStar;20,00;13,93;0;2,45;16,38
1;AStar;24,00;20,47;3;1,91;22,38
3;AStar;27,00;22,02;0;24,23;46,25
4;AStar;25,00;27,26;1;24,99;52,25
5;AStar;27,00;21,96;2;85,75;107,71
6;AStar;25,00;16,43;0;100,44;116,87
7;AStar;27,00;18,32;1;119,46;137,78
1;AStar;19,00;13,49;0;6,09;19,59
1;AStar;27,00;17,48;1;87,09;104,57
2;AStar;24,00;17,73;2;89,86;107,58
3;AStar;25,00;22,29;0;110,26;132,54
4;AStar;27,00;24,98;1;113,57;138,56
5;AStar;6,00;16,77;1;127,08;143,85
6;AStar;27,00;18,79;1;149,06;167,85
8;AStar;2,00;8,28;0;164,58;172,86
7;AStar;27,00;18,42;1;160,46;178,87
9;AStar;25,00;19,45;0;182,38;201,84
